time,x,y,z
3.138,-0.149,0.008,1.148
3.138,-0.148,0.009,1.152
3.139,-0.148,0.016,1.150
3.139,-0.148,0.018,1.141
3.140,-0.151,0.023,1.126
3.140,-0.160,0.033,1.104
3.141,-0.168,0.044,1.087
3.144,-0.175,0.057,1.070
3.148,-0.183,0.064,1.053
3.152,-0.186,0.068,1.050
3.156,-0.192,0.073,1.055
3.164,-0.193,0.075,1.054
3.165,-0.191,0.074,1.061
3.174,-0.182,0.066,1.072
3.175,-0.172,0.053,1.084
3.177,-0.147,0.035,1.110
3.179,-0.126,0.012,1.146
3.183,-0.106,-0.016,1.190
3.188,-0.084,-0.045,1.233
3.191,-0.057,-0.076,1.268
3.195,-0.035,-0.103,1.301
3.199,-0.020,-0.132,1.331
3.205,-0.004,-0.150,1.338
3.211,0.007,-0.175,1.334
3.212,0.024,-0.190,1.328
3.215,0.036,-0.201,1.317
3.225,0.044,-0.205,1.307
3.226,0.048,-0.204,1.288
3.234,0.046,-0.190,1.255
3.235,0.041,-0.172,1.225
3.251,0.028,-0.142,1.190
3.252,0.012,-0.113,1.146
3.253,-0.011,-0.089,1.097
3.254,-0.026,-0.057,1.049
3.254,-0.040,-0.028,1.006
3.255,-0.062,-0.002,0.961
3.259,-0.066,0.025,0.920
3.263,-0.077,0.054,0.883
3.266,-0.090,0.071,0.840
3.276,-0.093,0.087,0.813
3.277,-0.102,0.104,0.786
3.278,-0.107,0.114,0.762
3.282,-0.114,0.126,0.745
3.289,-0.117,0.133,0.734
3.294,-0.116,0.135,0.725
3.295,-0.115,0.136,0.722
3.298,-0.109,0.133,0.731
3.302,-0.101,0.123,0.742
3.306,-0.090,0.114,0.761
3.310,-0.082,0.105,0.781
3.314,-0.070,0.092,0.809
3.318,-0.052,0.074,0.835
3.324,-0.043,0.053,0.864
3.330,-0.031,0.038,0.889
