time,x,y,z
3.191,0.054,-0.094,1.175
3.191,0.046,-0.088,1.172
3.211,0.040,-0.075,1.159
3.211,0.037,-0.062,1.137
3.212,0.032,-0.054,1.117
3.212,0.021,-0.043,1.085
3.213,0.010,-0.033,1.055
3.213,0.003,-0.019,1.028
3.214,-0.004,-0.006,0.995
3.214,-0.011,0.002,0.968
3.215,-0.021,0.007,0.945
3.215,-0.025,0.017,0.919
3.216,-0.034,0.024,0.898
3.216,-0.038,0.037,0.874
3.217,-0.039,0.042,0.857
3.217,-0.047,0.055,0.833
3.222,-0.050,0.057,0.813
3.225,-0.054,0.064,0.795
3.229,-0.052,0.067,0.772
3.233,-0.051,0.075,0.757
3.237,-0.045,0.076,0.744
3.242,-0.036,0.085,0.729
3.246,-0.028,0.091,0.718
3.249,-0.025,0.091,0.706
3.253,-0.015,0.098,0.701
3.267,-0.009,0.098,0.694
3.267,-0.004,0.097,0.699
3.268,0.001,0.097,0.701
3.269,0.003,0.096,0.697
